Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Apple,"KSh 35,000","KSh 50,000",,,4 out of 5(1),Laptops,Apple MacBook Air Core i5 2015 4GB RAM 256 GB SSD 13 Inches A1466  MacOS Ultra Slim Refurbished Laptop,4GB RAM,N/A,N/A,N/A,
Lenovo,"KSh 23,499","KSh 29,000",,,,Laptops,Lenovo Refurbished Thinkpad T460 Core I5 16GB Ram 256GB SSD,"16GB Ram, 256GB SSD",N/A,N/A,N/A,"6th Generation, 14 INCH DISPLAY"
Lenovo,"KSh 28,999","KSh 35,000",,,,Laptops,"Lenovo ThinkPad X390 YOGA  Core i5-8th Gen 8GB Ram 256GB SSD Refurbished -13.3"" FHD X360-Black-Win 11","8GB Ram, 256GB SSD",N/A,"13.3""",N/A,
HP,"KSh 15,999","KSh 25,000",,,4 out of 5(3),Laptops,HP Refurbished EliteBook   Intel Core I5,"4GB RAM, 500GB HDD",N/A,N/A,N/A,"14''  Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad."
Lenovo,"KSh 25,599","KSh 38,000",,,,Laptops,Lenovo ThinkPad X390 Core I5-8th Gen 16GB Ram 256GB SSD Refurbished -,"16GB Ram, 256GB SSD",N/A,N/A,N/A,
HP,"KSh 57,000",,,,5 out of 5(1),Laptops,HP EliteBook x360 1040 G7 10th Generation Intel Core i7-10710U 16GB RAM 512GB SSD 14-In FHD Touchscreen,"16GB RAM, 512GB SSD",N/A,N/A,N/A,
HP,"KSh 15,500","KSh 25,000",,,,Laptops,"HP Refurbished ProBook X360 11e G5 4GB 128GB SSD Intel Celeron 2-in-1 11.6"" Touchscreen Ultraslim Laptop (6 Months WRTY)",128GB SSD,N/A,"11.6""",N/A,
HP,"KSh 22,000","KSh 28,000",,,,Laptops,HP EliteBook 745 G5 AMD Ryzen 5 PRO 2500U 8GB RAM 256GB SSD + 1GB AMD Radeon 8 Graphics 14 Inch FHD Display,"8GB RAM, 256GB SSD",N/A,N/A,N/A,
DELL,"KSh 18,999","KSh 35,999",,,4 out of 5(2),Laptops,DELL Refurbished Latitude 7280,"8GB RAM, 256GB SSD",N/A,"12.5""",N/A,"Core I5 -7300U 7th Gen 2.60GHz, -  (6 Months WRTY)"
Lenovo,"KSh 15,795","KSh 28,000",,,4.5 out of 5(4),Laptops,Lenovo Refurbished Thinkpad X260 Intel Core I5 8GB RAM 500GB HDD 12.5'' Black,"8GB RAM, 500GB HDD",N/A,N/A,N/A,
